,code,buy_date,sell_date,buy_price,sell_price,buy_type,sell_type,profit_pct
254,002262.XSHE,2023-08-04,2023-08-07,24.9,24.17,创新高买入,止损卖出,-2.93
255,002262.XSHE,2023-09-26,2023-10-09,26.68,26.4,创新高买入,止损卖出,-1.05
256,002268.XSHE,2023-06-01,2023-06-05,29.83,29.67,创新高买入,止损卖出,-0.54
257,002273.XSHE,2023-06-30,2023-07-03,11.96,11.74,创新高买入,止损卖出,-1.84
258,002294.XSHE,2023-08-04,2023-08-07,31.3,29.0,创新高买入,止损卖出,-7.35
259,002308.XSHE,2023-06-30,2023-07-06,4.66,4.81,创新高买入,开盘卖出,3.22
260,002311.XSHE,2023-08-24,2023-08-28,45.6,45.6,创新高买入,止损卖出,0.0
261,002313.XSHE,2023-07-20,2023-07-24,7.66,7.56,创新高买入,开盘卖出,-1.31
262,002319.XSHE,2023-08-31,2023-09-07,15.49,16.79,创新高买入,止损卖出,8.39
263,002323.XSHE,2023-06-05,2023-06-07,2.68,2.83,创新高买入,止损卖出,5.6
264,002331.XSHE,2023-12-05,2023-12-06,9.76,9.4,创新高买入,止损卖出,-3.69
265,002332.XSHE,2023-06-29,2023-07-03,13.19,12.94,创新高买入,止损卖出,-1.9
266,002332.XSHE,2023-10-12,2023-10-16,11.34,11.23,创新高买入,止损卖出,-0.97
267,002334.XSHE,2023-03-21,2023-03-23,10.21,10.15,创新高买入,止损卖出,-0.59
268,002335.XSHE,2023-01-30,2023-01-31,51.59,49.44,创新高买入,开盘卖出,-4.17
269,002335.XSHE,2023-03-21,2023-03-28,43.43,47.18,创新高买入,止损卖出,8.63
270,002348.XSHE,2023-09-18,2023-09-20,3.43,3.42,创新高买入,开盘卖出,-0.29
271,002351.XSHE,2023-07-12,2023-07-13,19.32,18.29,创新高买入,止损卖出,-5.33
272,002352.XSHE,2023-07-03,2023-07-05,45.43,45.65,创新高买入,止损卖出,0.48
273,002353.XSHE,2023-06-05,2023-06-06,24.32,23.66,创新高买入,止损卖出,-2.71
274,002353.XSHE,2023-08-16,2023-08-17,27.1,26.83,创新高买入,止损卖出,-1.0
275,002354.XSHE,2023-07-31,2023-08-02,6.11,6.07,创新高买入,止损卖出,-0.65
276,002355.XSHE,2023-06-21,2023-06-27,4.69,4.66,创新高买入,止损卖出,-0.64
277,002355.XSHE,2023-10-09,2023-10-11,5.64,5.7,创新高买入,止损卖出,1.06
278,002356.XSHE,2023-10-09,2023-10-10,4.76,4.54,创新高买入,开盘卖出,-4.62
279,002358.XSHE,2023-05-11,2023-05-15,4.38,4.36,创新高买入,开盘卖出,-0.46
280,002366.XSHE,2023-09-27,2023-10-09,5.58,5.54,创新高买入,止损卖出,-0.72
281,002368.XSHE,2023-03-29,2023-04-03,41.53,40.61,创新高买入,止损卖出,-2.22
282,002368.XSHE,2023-09-22,2023-10-09,30.0,30.44,创新高买入,止损卖出,1.47
283,002370.XSHE,2023-04-24,2023-04-25,4.27,4.14,创新高买入,止损卖出,-3.04
284,002371.XSHE,2023-03-30,2023-04-10,271.65,305.14,创新高买入,止损卖出,12.33
285,002371.XSHE,2023-06-27,2023-06-30,300.42,309.52,创新高买入,止损卖出,3.03
286,002373.XSHE,2023-04-28,2023-05-09,13.59,14.2,创新高买入,开盘卖出,4.49
287,002383.XSHE,2023-03-31,2023-04-04,7.21,7.18,创新高买入,止损卖出,-0.42
288,002384.XSHE,2023-01-06,2023-01-12,23.66,24.12,创新高买入,开盘卖出,1.94
289,002384.XSHE,2023-09-12,2023-09-13,18.2,17.95,创新高买入,止损卖出,-1.37
290,002403.XSHE,2023-04-13,2023-04-14,8.9,8.62,创新高买入,止损卖出,-3.15
291,002409.XSHE,2023-03-30,2023-04-10,52.69,64.42,创新高买入,止损卖出,22.26
292,002409.XSHE,2023-08-01,2023-08-07,68.24,70.22,创新高买入,止损卖出,2.9
293,002409.XSHE,2023-10-18,2023-10-19,58.44,56.11,创新高买入,止损卖出,-3.99
294,002414.XSHE,2023-06-13,2023-06-21,7.42,7.72,创新高买入,止损卖出,4.04
295,002415.XSHE,2023-06-14,2023-06-15,33.76,33.18,创新高买入,止损卖出,-1.72
296,002416.XSHE,2023-04-26,2023-04-27,8.13,8.0,创新高买入,止损卖出,-1.6
297,002426.XSHE,2023-04-10,2023-04-11,2.22,2.19,创新高买入,止损卖出,-1.35
